"","Contains fear","excitement"
"etfs",0.50944572687149,0.490554302930832
"eventually",0.155223667621613,0.844776391983032
"executives",0.441211193799973,0.558788895606995
"existential",0.149217337369919,0.850782632827759
"expense",0.0166020486503839,0.983398020267487
"experts",0.16880165040493,0.831198334693909
"extinction",0.851830959320068,0.148169040679932
"fast",0.0272725652903318,0.972727417945862
"fee",0.455708265304565,0.544291794300079
"finance",0.2323027998209,0.767697215080261
"financial",0.549887239933014,0.450112760066986
"firms",0.136160671710968,0.863839268684387
"founder",0.132524132728577,0.867475867271423
"free",0.33772149682045,0.662278473377228
"fulfilling",0.206666305661201,0.79333370923996
"funding",0.246614262461662,0.753385722637177
"funds",0.433606386184692,0.566393613815308
"gathered",0.419039100408554,0.580960869789124
"generate",0.155253469944,0.844746530056
"geopolitics",0.585696816444397,0.414303213357925
"global",0.228605762124062,0.771394193172455
"google",0.202826127409935,0.797173917293549
"google.s",0.274587243795395,0.725412786006927
"governments",0.29368656873703,0.706313490867615
"gpt",0.270956128835678,0.729043841362
"hardship",0.401690304279327,0.598309695720673
"hear",0.166306808590889,0.833693206310272
"homeowners",0.253812193870544,0.746187806129456
"human",0.14178378880024,0.858216166496277
"humanlike",0.1446423381567,0.855357646942139
"humans",0.216992691159248,0.783007323741913
"hype",0.103660628199577,0.896339416503906
"identity",0.178297266364098,0.821702659130096
"imitate",0.272549569606781,0.727450370788574
"inbox",0.260422199964523,0.739577829837799
"including",0.176631510257721,0.823368489742279
"increasing",0.213799133896828,0.786200940608978
"index",0.128792002797127,0.871208012104034
"industry",0.184479251503944,0.815520763397217
"info",0.242741122841835,0.757258832454681
"insurance",0.154825240373611,0.845174789428711
"intelligence",0.185740783810616,0.814259231090546
"invest",0.24647730588913,0.753522753715515
"investing",0.361031264066696,0.638968706130981
"ira",0.168530255556107,0.831469714641571
"jobs",0.257342576980591,0.742657423019409
"labs",0.304585605859756,0.695414423942566
"language",0.332549065351486,0.667450904846191
"launch",0.029804240912199,0.970195770263672
"lead",0.122772738337517,0.877227246761322
"leaders",0.0656921193003654,0.934307873249054
"letter",0.406035780906677,0.593964219093323
"life",0.0578188449144363,0.942181169986725
"llc",0.267439544200897,0.732560515403748
"loan",0.516671180725098,0.48332878947258
"loans",0.641677558422089,0.358322471380234
"loss",0.965784430503845,0.0342155806720257
"low",0.546460390090942,0.45353963971138
"lower",0.456944674253464,0.543055295944214
"major",0.159755527973175,0.840244472026825
"maker",0.237941026687622,0.762058973312378
"march",0.452199041843414,0.547800898551941
"market",0.150540053844452,0.849459886550903
"microsoft",0.258833944797516,0.741166114807129
"million",0.170956000685692,0.829043924808502
"minds",0.427349269390106,0.572650790214539
"minutes",0.216249838471413,0.783750116825104
"mitigating",0.621252417564392,0.378747582435608
"model",0.122668035328388,0.877331912517548
"money",0.227199152112007,0.772800862789154
"monitoring",0.417543351650238,0.582456648349762
"month",0.263346493244171,0.736653506755829
"months",0.482971519231796,0.517028450965881
"mortgage",0.595181584358215,0.404818445444107
"mortgages",0.802695989608765,0.197304040193558
"musk",0.267674475908279,0.732325494289398
"mutual",0.290930271148682,0.709069669246674
"nbcuniversal",0.251738518476486,0.748261451721191
"news",0.136880099773407,0.863119959831238
"newsletters",0.265559017658234,0.734440982341766
"nonhuman",0.77348804473877,0.226511925458908
"november",0.342231750488281,0.657768249511719
"nuclear",0.263375461101532,0.736624538898468
"obsolete",0.837359368801117,0.162640675902367
"obstacle",0.769183993339539,0.230816081166267
"online",0.110128000378609,0.889872074127197
"openai",0.130720779299736,0.869279205799103
"openai.s",0.235364332795143,0.764635682106018
"origination",0.293237864971161,0.706762135028839
"outnumber",0.373478263616562,0.62652176618576
"outsmart",0.527026116847992,0.472973883152008
"overcoming",0.325885206460953,0.67411482334137
"overdraft",0.407567143440247,0.592432916164398
"pace",0.14545726776123,0.85454273223877
"pandemics",0.152196109294891,0.847803890705109
"pause",0.589616358280182,0.410383582115173
"pay",0.267074763774872,0.732925236225128
"payment",0.504613757133484,0.495386272668839
"personal",0.498223274946213,0.501776695251465
"platforms",0.243689626455307,0.756310403347015
"play",0.041894219815731,0.958105802536011
"poses",0.273780018091202,0.726220011711121
"powerful",0.10874342918396,0.89125657081604
"priority",0.528539896011353,0.471460074186325
"products",0.186730742454529,0.813269257545471
"prompts",0.00895843002945185,0.991041600704193
"protection",0.349067986011505,0.65093195438385
"provided",0.131773844361305,0.868226170539856
"public",0.164595976471901,0.83540403842926
"quotes",0.3099724650383,0.6900275349617
"raced",0.694544970989227,0.305455058813095
"rate",0.5157670378685,0.4842329621315
"reached",0.292430102825165,0.70756983757019
"read",0.455288171768188,0.544711768627167
"real",0.127862155437469,0.872137904167175
"recent",0.180697932839394,0.819302082061768
"reducing",0.647271931171417,0.352728098630905
"refinance",0.455457419157028,0.544542551040649
"refunds",0.820868670940399,0.179131329059601
"released",0.208875194191933,0.791124761104584
"relief",0.172600999474525,0.827398955821991
"renters",0.572883605957031,0.427116394042969
"repair",0.808689057826996,0.191310942173004
"replace",0.797154128551483,0.202845886349678
"resale",0.406739473342896,0.593260586261749
"researchers",0.403662413358688,0.596337616443634
"reserved",0.850106358528137,0.149893641471863
"responses",0.414953023195267,0.585047006607056
"rewards",0.13499990105629,0.865000128746033
"rights",0.279646009206772,0.720353960990906
"risk",0.951085150241852,0.0489148423075676
"risks",0.254584103822708,0.745415925979614
"rival",0.21986711025238,0.78013288974762
"robo",0.246117666363716,0.7538822889328
"roth",0.296216696500778,0.703783273696899
"safety",0.29476135969162,0.705238699913025
"sam",0.203837305307388,0.796162664890289
"samsung",0.288094341754913,0.711905658245087
"savings",0.147702395915985,0.852297604084015
"scale",0.2311921864748,0.768807828426361
"scared",0.96751868724823,0.03248131275177
"schmidt",0.270146310329437,0.729853689670563
"score",0.119445703923702,0.88055431842804
"scores",0.255146861076355,0.74485319852829
"select",0.431209146976471,0.568790793418884
"separately",0.563686072826385,0.436313927173615
"services",0.253781169652939,0.746218800544739
"severe",0.694247186183929,0.305752813816071
"share",0.114896446466446,0.885103523731232
"short",0.437946021556854,0.562054038047791
"sign",0.144552066922188,0.855447947978973
"signed",0.276380002498627,0.723619997501373
"sites",0.262180149555206,0.737819850444794
"snapshot",0.156071558594704,0.843928456306458
"societal",0.489815652370453,0.510184407234192
"society",0.26892477273941,0.73107522726059
"software",0.215602591633797,0.78439736366272
"sparked",0.030707411468029,0.969292640686035
"spectrum",0.311884552240372,0.688115477561951
"statement",0.220120251178741,0.779879748821259
"steve",0.322296798229218,0.677703201770782
"stock",0.210231363773346,0.789768695831299
"stocks",0.198179587721825,0.801820397377014
"stop",0.538049161434174,0.461950778961182
"student",0.217735424637794,0.782264530658722
"subsequently",0.340303808450699,0.659696221351624
"suggesting",0.454347610473633,0.545652389526367
"supported",0.138886332511902,0.861113667488098
"systems",0.404216557741165,0.595783412456512
"tasks",0.63756799697876,0.362431973218918
"tax",0.519700050354004,0.480299949645996
"taxes",0.539810121059418,0.46018984913826
"tech",0.0925699695944786,0.907430052757263
"technology",0.109162256121635,0.890837788581848
"tesla.s",0.412165522575378,0.587834417819977
"theft",0.848463475704193,0.151536494493484
"time",0.1947932690382,0.805206775665283
"tip",0.330630421638489,0.669369518756866
"tips",0.305748969316483,0.694251000881195
"tracker",0.593959748744965,0.406040251255035
"trading",0.358178168535233,0.641821801662445
"training",0.169720068573952,0.830279946327209
"transfer",0.224399358034134,0.775600671768188
"travel",0.0772089064121246,0.922791123390198
"tsmc",0.316580593585968,0.683419406414032
"tuesday",0.200415730476379,0.799584269523621
"unions",0.602551341056824,0.397448629140854
"urged",0.285266727209091,0.714733302593231
"urgent",0.489333152770996,0.510666906833649
"users",0.169158801436424,0.830841183662415
"viral",0.0550607852637768,0.944939255714417
"voice",0.0768983960151672,0.923101603984833
"war",0.767893135547638,0.232106789946556
"warned",0.862492322921753,0.137507632374763
"week",0.151487275958061,0.848512709140778
"world",0.156939804553986,0.843060195446014
"worries",0.487799465656281,0.512200534343719
"wozniak",0.312748044729233,0.68725198507309
"yield",0.143424019217491,0.856575906276703
"acceptance",0.0758204832673073,0.924179553985596
"access",0.0948088467121124,0.90519118309021
"account.1",0.556954562664032,0.443045496940613
"actionable",0.123146712779999,0.876853287220001
"ai.1",0.144244596362114,0.85575544834137
"amid",0.63070809841156,0.369291931390762
"announcement",0.0632227063179016,0.936777353286743
"anthropic",0.109455496072769,0.890544533729553
"artificial.1",0.270759344100952,0.729240715503693
"biden",0.261101365089417,0.738898634910583
"bosses",0.370542824268341,0.629457235336304
"broader",0.142725601792336,0.857274413108826
"brussels",0.472352653741837,0.527647316455841
"carefully",0.329212158918381,0.670787870883942
"change",0.308197170495987,0.691802859306335
"climate",0.475862562656403,0.524137437343597
"comments",0.445406764745712,0.554593205451965
"companies",0.236355289816856,0.763644695281982
"comparable",0.135567054152489,0.864432990550995
"concerned",0.948543727397919,0.0514563098549843
"confirm",0.0886873677372932,0.911312639713287
"confirmed",0.133903920650482,0.866096138954163
"content",0.280956208705902,0.719043850898743
"council",0.431470811367035,0.568529188632965
"countries",0.211192235350609,0.788807809352875
"data.1",0.422135710716248,0.577864229679108
"deepmind.1",0.38985612988472,0.610143899917603
"depth",0.155834555625916,0.844165444374084
"developments",0.116682134568691,0.883317887783051
"discuss",0.44325664639473,0.556743383407593
"discussed",0.415751457214355,0.584248542785645
"discussions.1",0.24684002995491,0.753159940242767
"doom",0.787134051322937,0.212865903973579
"emerge",0.162558272480965,0.837441742420197
"energy",0.0138729149475694,0.986127078533173
"eu",0.180953741073608,0.819046258926392
"existential.1",0.149217337369919,0.850782632827759
"extinction.1",0.851830959320068,0.148169040679932
"figures",0.477585285902023,0.522414684295654
"forgot",0.860919713973999,0.139080330729485
"google.1",0.202826127409935,0.797173917293549
"government",0.318365216255188,0.681634843349457
"government.s",0.551191329956055,0.448808670043945
"grapple",0.704056859016418,0.295943200588226
"hardening",0.787010729312897,0.212989330291748
"heads",0.365891724824905,0.634108245372772
"hoping",0.0560793466866016,0.94392067193985
"house",0.229059189558029,0.770940840244293
"humanity",0.150945261120796,0.849054753780365
"industry.1",0.184479251503944,0.815520763397217
"innovation",0.0148340919986367,0.985165953636169
"intelligence.1",0.185740783810616,0.814259231090546
"ireland",0.21124142408371,0.788758635520935
"joe",0.260759741067886,0.739240288734436
"laden",0.374441534280777,0.625558435916901
"leadership",0.0459424220025539,0.954057574272156
"leading",0.0562607795000076,0.943739175796509
"letter.1",0.406035780906677,0.593964219093323
"log",0.390871375799179,0.609128654003143
"logging",0.405672162771225,0.594327867031097
"london",0.175801694393158,0.824198305606842
"manage",0.477922767400742,0.522077202796936
"march.1",0.452199041843414,0.547800898551941
"meeting",0.0292911846190691,0.970708847045898
"meets",0.219361305236816,0.780638694763184
"minister",0.467879116535187,0.532120883464813
"minister.s",0.557630598545074,0.44236946105957
"northern",0.223233938217163,0.776766061782837
"nuclear.1",0.263375461101532,0.736624538898468
"official",0.140825212001801,0.859174787998199
"officials",0.231381952762604,0.768618047237396
"openai.1",0.130720779299736,0.869279205799103
"pandemics.1",0.152196109294891,0.847803890705109
"paper",0.234064042568207,0.765935897827148
"password",0.664897263050079,0.335102796554565
"people",0.128222957253456,0.871777057647705
"play.1",0.041894219815731,0.958105802536011
"policy",0.626471519470215,0.373528510332108
"politico",0.44674277305603,0.55325722694397
"poses.1",0.273780018091202,0.726220011711121
"potential",0.287895441055298,0.712104558944702
"president",0.179036349058151,0.820963621139526
"prime",0.213040873408318,0.786959111690521
"privacy",0.738986611366272,0.261013388633728
"pro",0.214003652334213,0.785996377468109
"professionals",0.466889053583145,0.533110916614532
"profile",0.279826194047928,0.720173835754395
"public.1",0.164595976471901,0.83540403842926
"publication",0.0895101577043533,0.910489857196808
"published",0.311093956232071,0.688906013965607
"reassure",0.551008582115173,0.448991358280182
"reassured",0.503168165683746,0.496831804513931
"recent.1",0.180697932839394,0.819302082061768
"recognised",0.137367710471153,0.862632274627686
"referencing",0.652164041996002,0.34783598780632
"register",0.191682457923889,0.808317482471466
"reporting",0.401086091995239,0.598913908004761
"reports",0.22848816215992,0.771511912345886
"rhetoric",0.405846029520035,0.594153940677643
"rishi",0.221176087856293,0.778823912143707
"risk.1",0.951085150241852,0.0489148423075676
"risks.1",0.254584103822708,0.745415925979614
"role",0.200968369841576,0.799031615257263
"senior",0.12432935833931,0.875670671463013
"solve",0.247695222496986,0.752304792404175
"sunak",0.23192124068737,0.768078744411469
"sunak.s",0.422545403242111,0.577454566955566
"sweden",0.307329624891281,0.692670345306396
"talks",0.378091126680374,0.621908843517303
"tech.1",0.0925699695944786,0.907430052757263
"technology.1",0.109162256121635,0.890837788581848
"trade",0.163133755326271,0.83686625957489
"trip",0.118642643094063,0.881357312202454
"tuesday.1",0.200415730476379,0.799584269523621
"u.k",0.294999629259109,0.705000400543213
"u.s",0.328023642301559,0.671976327896118
"uk",0.161995187401772,0.83800482749939
"ukraine",0.694648802280426,0.305351167917252
"ultimately",0.23547288775444,0.764527142047882
"war.1",0.767893135547638,0.232106789946556
"warnings",0.881795465946198,0.118204511702061
"wars",0.470052897930145,0.529947102069855
"washington",0.423309445381165,0.576690554618835
"we.re",0.431823551654816,0.568176507949829
"week.1",0.151487275958061,0.848512709140778
"white",0.208298727869987,0.791701257228851
"world.1",0.156939804553986,0.843060195446014
"aap",0.427456438541412,0.572543501853943
"abr",0.276367098093033,0.723632872104645
"acceptable",0.740387260913849,0.259612739086151
"achieve",0.017633855342865,0.982366144657135
"added",0.124455846846104,0.875544130802155
"administration",0.520839035511017,0.479160904884338
"advance",0.0122657148167491,0.987734258174896
"advances.1",0.0219006165862083,0.978099346160889
"advancing",0.0178219489753246,0.982178032398224
"advantages",0.452352941036224,0.547647058963776
"ago",0.200009733438492,0.799990296363831
"ahead",0.0419735871255398,0.958026349544525
"ai.2",0.144244596362114,0.85575544834137
"alarmed",0.373469203710556,0.626530826091766
"allowed",0.368173032999039,0.631826937198639
"americans",0.433143734931946,0.566856265068054
"amid.1",0.63070809841156,0.369291931390762
"analysis.1",0.585486829280853,0.414513140916824
"analyst.1",0.805580973625183,0.1944190710783
"analysts",0.376007527112961,0.623992443084717
"announced",0.0627148225903511,0.937285184860229
"application",0.142250686883926,0.857749283313751
"applications",0.325066566467285,0.674933433532715
"approach",0.0246334839612246,0.975366532802582
"artificial.2",0.270759344100952,0.729240715503693
"arvind",0.243240892887115,0.756759107112885
"assess",0.357429623603821,0.642570316791534
"assets",0.19239604473114,0.80760395526886
"attempt",0.648399651050568,0.35160031914711
"augurs",0.0364049933850765,0.963594973087311
"auto",0.204681903123856,0.795318067073822
"average.1",0.445097148418427,0.554902851581573
"bad.1",0.892328977584839,0.107671022415161
"badly",0.849551796913147,0.150448247790337
"bank.s",0.387364894151688,0.612635135650635
"banking.1",0.550149977207184,0.449850082397461
"base",0.291722595691681,0.708277404308319
"based",0.206127613782883,0.793872356414795
"battle",0.311677187681198,0.688322782516479
"bear.1",0.434191823005676,0.565808236598969
"beat",0.155336886644363,0.844663083553314
"beer",0.101251810789108,0.898748159408569
"begun",0.796848237514496,0.203151807188988
"benefit",0.102280206978321,0.89771980047226
"berkshire",0.315975457429886,0.684024572372437
"betmccarthy",0.619126379489899,0.380873650312424
"biden.1",0.261101365089417,0.738898634910583
"bill",0.233090564608574,0.76690936088562
"billion",0.164386779069901,0.835613191127777
"bleak",0.900852859020233,0.099147155880928
"bloomberg",0.651919782161713,0.348080217838287
"bloombergchina",0.371739745140076,0.628260314464569
"blowout",0.791706681251526,0.208293318748474
"bold",0.147622257471085,0.852377712726593
"borrowing",0.166381120681763,0.833618879318237
"bottom",0.256973445415497,0.743026614189148
"bought",0.363497793674469,0.636502206325531
"brian",0.268249243497849,0.731750726699829
"brian.sozzi",0.328427314758301,0.671572685241699
"briansozzi",0.366678327322006,0.633321702480316
"bring",0.0593402348458767,0.940659761428833
"brinkmanship",0.18768422305584,0.812315821647644
"brokerage",0.433010935783386,0.566989064216614
"brokered",0.397567629814148,0.602432370185852
"bruising",0.449861168861389,0.550138831138611
"bud",0.852097749710083,0.147902235388756
"buffett",0.417378008365631,0.582621991634369
"build.1",0.10576368868351,0.894236326217651
"builds",0.127393946051598,0.872606039047241
"business.1",0.0987657979130745,0.901234209537506
"businesses.1",0.205630034208298,0.79436993598938
"buying",0.186686187982559,0.813313782215118
"call",0.279102861881256,0.720897138118744
"canalys",0.33004891872406,0.66995108127594
"capabilities.1",0.431100308895111,0.568899691104889
"career",0.205676808953285,0.794323146343231
"cast",0.277820497751236,0.722179532051086
"category",0.212928161025047,0.787071824073792
"caucus",0.217773765325546,0.782226204872131
"ceiling",0.663105010986328,0.336894989013672
"central",0.168992877006531,0.831007063388824
"ceo.1",0.199793115258217,0.8002068400383
"change.1",0.308197170495987,0.691802859306335
"chase",0.14004197716713,0.859958052635193
"chatgpt.1",0.402643471956253,0.597356557846069
"chatterjee",0.395630806684494,0.604369163513184
"checks",0.254996031522751,0.745003998279572
"cheers",0.159430116415024,0.840569853782654
"chief",0.289624720811844,0.710375249385834
"china.s",0.373439967632294,0.626560091972351
"chinese",0.290869802236557,0.709130167961121
"chipmakers",0.214107140898705,0.785892844200134
"chips",0.32410129904747,0.675898671150208
"click",0.0970253422856331,0.902974665164948
"closely",0.434255331754684,0.565744638442993
"cloud",0.19246506690979,0.80753493309021
"clues",0.252260565757751,0.747739434242249
"co.most",0.378388613462448,0.621611356735229
"comeback",0.321533620357513,0.678466439247131
"commentary",0.424535483121872,0.575464487075806
"comments.1",0.445406764745712,0.554593205451965
"commerce",0.111436486244202,0.888563513755798
"company",0.143475711345673,0.856524348258972
"competitive.1",0.0332477614283562,0.966752290725708
"compromise",0.797308385372162,0.202691569924355
"computers",0.283871531486511,0.716128468513489
"computing",0.281509160995483,0.718490839004517
"confidence",0.0321127735078335,0.967887222766876
"confident",0.0533926710486412,0.946607351303101
"confronts",0.45318990945816,0.546810150146484
"congressional",0.147108018398285,0.85289204120636
"consumer",0.304033935070038,0.695966005325317
"consumers",0.165980234742165,0.834019780158997
"continued",0.259852707386017,0.740147233009338
"core",0.199051931500435,0.800948083400726
"cost",0.657302021980286,0.342698007822037
"costs",0.723767042160034,0.276232928037643
"created",0.147815331816673,0.852184653282166
"creating",0.107951417565346,0.892048597335815
"crisis",0.970208466053009,0.0297914985567331
"crossed",0.241468250751495,0.758531749248505
"crustwinklevoss",0.597389578819275,0.402610391378403
"customers",0.370425760746002,0.629574298858643
"cut",0.429126352071762,0.57087367773056
"cuts",0.79525750875473,0.204742506146431
"cutting",0.521479487419128,0.478520482778549
"cycle",0.0882182568311691,0.911781787872314
"data.2",0.422135710716248,0.577864229679108
"days",0.215747073292732,0.784252941608429
"deal",0.23617921769619,0.763820767402649
"deb",0.77644157409668,0.223558411002159
"debate",0.880868017673492,0.119131997227669
"debt.1",0.845881342887878,0.154118657112122
"declines",0.906229436397552,0.0937705487012863
"deep",0.432604104280472,0.567395865917206
"delivered.1",0.239449620246887,0.760550379753113
"demand",0.118055753409863,0.881944179534912
"depth.1",0.155834555625916,0.844165444374084
"designs",0.22429533302784,0.775704681873322
"deterioration",0.848007202148438,0.15199276804924
"dig",0.272643148899078,0.727356910705566
"dimon",0.231061950325966,0.768938064575195
"dipped",0.471267580986023,0.528732419013977
"disappointing",0.830225765705109,0.169774204492569
"dose",0.533091366291046,0.466908603906631
"doubt",0.961628913879395,0.0383710488677025
"drilling",0.092546284198761,0.907453715801239
"drinkers",0.45883047580719,0.54116952419281
"driving",0.0696976557374001,0.930302321910858
"due",0.353554993867874,0.646445035934448
"earlier",0.401115477085114,0.598884582519531
"earn",0.328178226947784,0.671821713447571
"earnings.1",0.087498813867569,0.912501156330109
"earth.s",0.359529882669449,0.640470087528229
"economic",0.320528566837311,0.679471433162689
"economy",0.29837292432785,0.70162707567215
"edge",0.118589788675308,0.881410241127014
"editor",0.356815695762634,0.643184304237366
"effectiveness",0.592965841293335,0.407034128904343
"efforts",0.0819497182965279,0.918050289154053
"elevated",0.249747440218925,0.750252544879913
"elon.1",0.255728483200073,0.744271516799927
"email",0.3523810505867,0.647619009017944
"emerging",0.050627876073122,0.949372053146362
"employeestwitter",0.478339821100235,0.521660208702087
"energy.1",0.0138729149475694,0.986127078533173
"enrique",0.234768107533455,0.765231907367706
"equities",0.159992560744286,0.840007424354553
"era",0.310061484575272,0.689938545227051
"estimates",0.698249399662018,0.30175057053566
"ethics",0.238858252763748,0.761141777038574
"events",0.0695134922862053,0.930486559867859
"evident",0.0780600681900978,0.92193990945816
"executive",0.234004899859428,0.76599508523941
"expect",0.0313366018235683,0.968663454055786
"expected",0.201993495225906,0.798006534576416
"expenses",0.0875953808426857,0.912404596805573
"experiment",0.0486560948193073,0.951343894004822
"experts.1",0.16880165040493,0.831198334693909
"explained",0.329912722110748,0.670087277889252
"eye",0.193598806858063,0.806401133537292
"famed",0.671613216400146,0.328386813402176
"families",0.488041967153549,0.511958003044128
"favor",0.0228933524340391,0.977106630802155
"features",0.0876630768179893,0.912336945533752
"fed",0.383890390396118,0.616109609603882
"federal",0.332862198352814,0.667137801647186
"fell",0.538908123970032,0.461091905832291
"fidelity",0.442761421203613,0.557238519191742
"finance.1",0.2323027998209,0.767697215080261
"finance.s",0.367841184139252,0.632158815860748
"finances",0.114969313144684,0.885030686855316
"financial.1",0.549887239933014,0.450112760066986
"fiscal",0.786666452884674,0.213333547115326
"flock",0.0860356166958809,0.913964331150055
"floor",0.137965261936188,0.862034738063812
"focus",0.2008026689291,0.799197316169739
"follow",0.142961889505386,0.857038080692291
"forecast",0.208240538835526,0.791759490966797
"forecasted",0.315929442644119,0.684070587158203
"fourth",0.194388583302498,0.805611431598663
"fueled",0.0273951925337315,0.972604811191559
"functions",0.0310592390596867,0.968940734863281
"future",0.114701509475708,0.885298490524292
"gameflip.s",0.100451767444611,0.899548172950745
"gamers",0.104333773255348,0.895666241645813
"gaming",0.117945402860641,0.882054626941681
"gemini",0.225469589233398,0.774530410766602
"global.1",0.228605762124062,0.771394193172455
"government.1",0.318365216255188,0.681634843349457
"gradually",0.12822450697422,0.871775448322296
"grow",0.10478613525629,0.895213842391968
"growing",0.1118293851614,0.888170599937439
"half",0.445093929767609,0.554906010627747
"happen",0.0799841955304146,0.920015811920166
"hathaway",0.791954040527344,0.208045899868011
"heavy",0.341214090585709,0.658785939216614
"highly",0.0847578123211861,0.915242195129395
"hinted",0.542057394981384,0.457942605018616
"hiring",0.342689424753189,0.657310605049133
"historic",0.124921508133411,0.875078499317169
"hold",0.226748153567314,0.773251831531525
"hole",0.655708909034729,0.344291090965271
"house.1",0.229059189558029,0.770940840244293
"housing",0.2928706407547,0.707129418849945
"hp",0.109209753572941,0.890790224075317
"hp.s",0.202101409435272,0.797898590564728
"hpq",0.225941807031631,0.774058222770691
"hr",0.176353812217712,0.823646187782288
"huge",0.0804396420717239,0.919560313224792
"human.1",0.14178378880024,0.858216166496277
"hurdle",0.742153525352478,0.257846474647522
"ibm",0.213627755641937,0.786372244358063
"impact",0.0929397717118263,0.907060265541077
"inadvertently",0.865051507949829,0.134948506951332
"inbev",0.268725156784058,0.731274843215942
"including.1",0.176631510257721,0.823368489742279
"index.1",0.128792002797127,0.871208012104034
"indicators",0.264140903949738,0.735859096050262
"industrial",0.241675928235054,0.758324086666107
"industry.2",0.184479251503944,0.815520763397217
"inevitable",0.608168423175812,0.391831666231155
"inflation",0.763199925422668,0.236800089478493
"installed",0.271303296089172,0.728696703910828
"intact",0.384864270687103,0.615135788917542
"integrate",0.237144872546196,0.762855112552643
"intelligence.2",0.185740783810616,0.814259231090546
"inventory",0.491806745529175,0.50819319486618
"investors",0.265758812427521,0.734241187572479
"isn.t",0.608387589454651,0.391612380743027
"jamie",0.161567360162735,0.838432669639587
"janet",0.328618317842484,0.671381652355194
"jobs.1",0.257342576980591,0.742657423019409
"joe.1",0.260759741067886,0.739240288734436
"jp",0.143591061234474,0.856408953666687
"jpmorgan",0.302748829126358,0.69725114107132
"june",0.234879404306412,0.765120625495911
"keeping",0.523569643497467,0.476430386304855
"kevin",0.419715076684952,0.580284953117371
"key",0.248170107603073,0.751829862594604
"krishna",0.330301553010941,0.669698417186737
